id_unique,id_old,form_e_chris,source,energy_pa,stoich
v4zonyzw7d,10054,-1.064,oqmd,-7.031491675,AB2
x5xfz16h95,694981,-0.795,oqmd,-6.400890375,AB3
826imfvjm5,690788,-0.78,oqmd,-6.385964828,AB3
65xlxp7o8i,825007,-0.777,oqmd,-6.383127848,AB3
nl9gb2csx5,694982,-0.716,oqmd,-6.321847328,AB3
z17s6dzu6r,825035,-0.661,oqmd,-6.266739435,AB3
nu64ni7a6i,825034,-0.659,oqmd,-6.265542249,AB3
6svsc4bqxh,325288,0.173,oqmd,-5.433,AB3
v1bebhmeny,298609,0.518,oqmd,-5.088081808,AB3
vjvfzpb48y,309147,0.523,oqmd,-5.083408538,AB3
x4zsxdmanr,349774,0.952,oqmd,-4.654,AB3
